일시,평균기온
2023-01-01,-2.9232150581018974
2023-01-02,-4.701860331639922
2023-01-03,-5.782038472561472
2023-01-04,-6.478671814100237
2023-01-05,-6.964017610313789
2023-01-06,-7.332307438276729
2023-01-07,-7.635099319082515
2023-01-08,-7.900612249832111
2023-01-09,-8.14430051110857
2023-01-10,-8.374636895473973
2023-01-11,-8.596275633486746
2023-01-12,-8.811782242691956
2023-01-13,-9.022579608381468
2023-01-14,-9.229465411416689
2023-01-15,-9.43289512021369
2023-01-16,-9.633136766709326
2023-01-17,-9.830355599287548
2023-01-18,-10.02466038446065
2023-01-19,-10.216128733707466
2023-01-20,-10.404820958845992
2023-01-21,-10.590787653460032
2023-01-22,-10.774073842970614
2023-01-23,-10.954721258002255
2023-01-24,-11.132769581302824
2023-01-25,-11.308257133235175
2023-01-26,-11.481221250165675
2023-01-27,-11.651698494844013
2023-01-28,-11.819724774847531
2023-01-29,-11.985335410696196
2023-01-30,-12.148565176393838
2023-01-31,-12.30944832484169
2023-02-01,-12.468018604931812
2023-02-02,-12.624309274044201
2023-02-03,-12.778353107984854
2023-02-04,-12.930182409479665
2023-02-05,-13.07982901583449
2023-02-06,-13.227324306095857
2023-02-07,-13.372699207895863
2023-02-08,-13.515984204082216
2023-02-09,-13.657209339189317
2023-02-10,-13.796404225781469
2023-02-11,-13.933598050685863
2023-02-12,-14.06881958112553
2023-02-13,-14.202097170758437
2023-02-14,-14.333458765626649
2023-02-15,-14.462931910018257
2023-02-16,-14.590543752244113
2023-02-17,-14.716321050330992
2023-02-18,-14.84029017763265
2023-02-19,-14.962477128360051
2023-02-20,-15.082907523032022
2023-02-21,-15.20160661384748
2023-02-22,-15.318599289980433
2023-02-23,-15.433910082798826
2023-02-24,-15.54756317100836
2023-02-25,-15.659582385722356
2023-02-26,-15.769991215458742
2023-02-27,-15.87881281106519
2023-02-28,-15.98606999057346
2023-03-01,-16.09178524398395
2023-03-02,-16.195980737981458
2023-03-03,-16.298678320583175
2023-03-04,-16.399899525719825
2023-03-05,-16.49966557775097
2023-03-06,-16.5979973959154
2023-03-07,-16.694915598717525
2023-03-08,-16.790440508250747
2023-03-09,-16.884592154458634
2023-03-10,-16.977390279334873
2023-03-11,-17.068854341062817
2023-03-12,-17.159003518095545
2023-03-13,-17.247856713177253
2023-03-14,-17.33543255730683
2023-03-15,-17.42174941364447
2023-03-16,-17.506825381362106
2023-03-17,-17.5906782994385
2023-03-18,-17.673325750399783
2023-03-19,-17.754785064006192
2023-03-20,-17.835073320885837
2023-03-21,-17.914207356116208
2023-03-22,-17.992203762754222
2023-03-23,-18.06907889531548
2023-03-24,-18.144848873203554
2023-03-25,-18.219529584089923
2023-03-26,-18.293136687245372
2023-03-27,-18.365685616823466
2023-03-28,-18.437191585096823
2023-03-29,-18.50766958564687
2023-03-30,-18.57713439650774
2023-03-31,-18.64560058326499
2023-04-01,-18.713082502109724
2023-04-02,-18.779594302848874
2023-04-03,-18.84514993187215
2023-04-04,-18.90976313507637
2023-04-05,-18.973447460747746
2023-04-06,-19.03621626240271
2023-04-07,-19.098082701587938
2023-04-08,-19.159059750640086
2023-04-09,-19.21916019540588
2023-04-10,-19.278396637923084
2023-04-11,-19.33678149906293
2023-04-12,-19.39432702113457
2023-04-13,-19.451045270452074
2023-04-14,-19.50694813986453
2023-04-15,-19.562047351249774
2023-04-16,-19.616354457972268
2023-04-17,-19.669880847305638
2023-04-18,-19.7226377428204
2023-04-19,-19.77463620673734
2023-04-20,-19.825887142247087
2023-04-21,-19.87640129579631
2023-04-22,-19.92618925934108
2023-04-23,-19.97526147256781
2023-04-24,-20.023628225082284
2023-04-25,-20.07129965856722
2023-04-26,-20.11828576890879
2023-04-27,-20.164596408292603
2023-04-28,-20.21024128726953
2023-04-29,-20.255229976791846
2023-04-30,-20.299571910220095
2023-05-01,-20.343276385301102
2023-05-02,-20.386352566117555
2023-05-03,-20.428809485009555
2023-05-04,-20.470656044468544
2023-05-05,-20.511901019004007
2023-05-06,-20.552553056983335
2023-05-07,-20.592620682445236
2023-05-08,-20.632112296887094
2023-05-09,-20.6710361810266
2023-05-10,-20.7094004965381
2023-05-11,-20.74721328776393
2023-05-12,-20.784482483401213
2023-05-13,-20.82121589816434
2023-05-14,-20.857421234423597
2023-05-15,-20.89310608382022
2023-05-16,-20.928277928858236
2023-05-17,-20.9629441444734
2023-05-18,-20.997111999579612
2023-05-19,-21.030788658593078
2023-05-20,-21.063981182934562
2023-05-21,-21.096696532510048
2023-05-22,-21.128941567170116
2023-05-23,-21.16072304814833
2023-05-24,-21.19204763947896
2023-05-25,-21.222921909394312
2023-05-26,-21.253352331701972
2023-05-27,-21.28334528714226
2023-05-28,-21.312907064726158
2023-05-29,-21.342043863054005
2023-05-30,-21.370761791615248
2023-05-31,-21.399066872069483
2023-06-01,-21.42696503950911
2023-06-02,-21.454462143703807
2023-06-03,-21.48156395032714
2023-06-04,-21.50827614216551
2023-06-05,-21.534604320309754
2023-06-06,-21.56055400532959
2023-06-07,-21.586130638431175
2023-06-08,-21.61133958259806
2023-06-09,-21.636186123715685
2023-06-10,-21.660675471679767
2023-06-11,-21.684812761488708
2023-06-12,-21.70860305432032
2023-06-13,-21.732051338593074
2023-06-14,-21.755162531012076
2023-06-15,-21.77794147760003
2023-06-16,-21.800392954713356
2023-06-17,-21.822521670043706
2023-06-18,-21.844332263605104
2023-06-19,-21.865829308706857
2023-06-20,-21.88701731291252
2023-06-21,-21.907900718985037
2023-06-22,-21.928483905818325
2023-06-23,-21.948771189355448
2023-06-24,-21.9687668234936
2023-06-25,-21.98847500097607
2023-06-26,-22.007899854271393
2023-06-27,-22.027045456439854
2023-06-28,-22.045915821987546
2023-06-29,-22.064514907708134
2023-06-30,-22.082846613512533
2023-07-01,-22.100914783246655
2023-07-02,-22.118723205497393
2023-07-03,-22.136275614387024
2023-07-04,-22.153575690356192
2023-07-05,-22.170627060935637
2023-07-06,-22.187433301506815
2023-07-07,-22.203997936051607
2023-07-08,-22.220324437891232
2023-07-09,-22.236416230414545
2023-07-10,-22.25227668779586
2023-07-11,-22.26790913570246
2023-07-12,-22.283316851991934
2023-07-13,-22.298503067399484
2023-07-14,-22.313470966215352
2023-07-15,-22.328223686952523
2023-07-16,-22.342764323004808
2023-07-17,-22.357095923295475
2023-07-18,-22.371221492916565
