일시,최고기온,최저기온,일교차,강수량,평균습도,평균풍속,일조합,일사합,일조율,평균기온
1960-01-01,2.2,-5.2,7.4,,68.3,1.7,6.7,,,-1.6
1960-01-02,1.2,-5.6,6.8,0.4,87.7,1.3,0.0,,,-1.9
1960-01-03,8.7,-2.1,10.8,0.0,81.3,3.0,0.0,,,4.0
1960-01-04,10.8,1.2,9.6,0.0,79.7,4.4,2.6,,,7.5
1960-01-05,1.3,-8.2,9.5,,44.0,5.1,8.2,,,-4.6
1960-01-06,-1.2,-9.5,8.3,0.0,51.3,1.8,7.7,,,-5.2
1960-01-07,6.0,-3.5,9.5,0.1,74.0,1.3,1.9,,,1.3
1960-01-08,3.6,0.2,3.4,0.0,85.0,0.4,0.0,,,1.9
1960-01-09,4.8,0.1,4.7,1.2,91.3,0.3,0.0,,,2.3
1960-01-10,4.2,-0.5,4.7,0.1,82.7,0.7,0.0,,,2.2
1960-01-11,2.6,-5.4,8.0,,50.3,4.1,8.2,,,-2.3
1960-01-12,1.2,-7.6,8.8,0.0,57.3,2.3,4.9,,,-3.8
1960-01-13,1.6,-9.1,10.7,,39.0,1.4,6.7,,,-2.8
1960-01-14,2.4,-6.7,9.1,0.4,55.7,2.6,6.0,,,-1.5
1960-01-15,-2.2,-8.2,6.0,0.0,70.7,0.7,0.0,,,-4.8
1960-01-16,-1.2,-8.7,7.5,0.0,71.0,3.2,1.4,,,-5.0
1960-01-17,-1.1,-9.9,8.8,,40.3,2.3,7.0,,,-5.3
1960-01-18,0.5,-7.2,7.7,0.0,62.0,1.9,0.0,,,-2.5
1960-01-19,6.7,-1.6,8.3,,70.0,0.9,5.7,,,2.1
1960-01-20,1.7,-3.4,5.1,0.0,77.0,3.4,0.3,,,-0.5
1960-01-21,-3.4,-9.9,6.5,,49.3,3.7,7.0,,,-6.1
1960-01-22,-4.9,-12.6,7.7,,53.0,3.7,8.7,,,-9.5
1960-01-23,-9.6,-15.8,6.2,,45.3,4.0,7.7,,,-13.1
1960-01-24,-8.0,-17.0,9.0,,38.7,2.1,9.1,,,-12.5
1960-01-25,-0.4,-15.3,14.9,2.2,60.0,1.7,6.9,,,-7.3
1960-01-26,-3.8,-12.2,8.4,0.1,57.0,2.0,8.1,,,-7.2
1960-01-27,-7.6,-14.8,7.2,0.1,60.3,4.3,8.6,,,-10.5
1960-01-28,-7.0,-15.3,8.3,,56.3,1.9,9.5,,,-11.0
1960-01-29,-2.0,-14.6,12.6,,66.0,1.2,8.3,,,-7.5
1960-01-30,5.2,-6.4,11.6,,67.0,1.4,7.1,,,-0.2
1960-01-31,6.2,-0.2,6.4,0.0,67.7,1.1,1.6,,,2.6
1960-02-01,6.2,-2.2,8.4,,76.3,1.4,4.8,,,0.8
1960-02-02,6.6,-4.7,11.3,,71.0,0.6,5.2,,,1.2
