ID,first_party_winner
TEST_0000,1
TEST_0001,1
TEST_0002,1
TEST_0003,1
TEST_0004,1
TEST_0005,0
TEST_0006,0
TEST_0007,1
TEST_0008,1
TEST_0009,1
TEST_0010,1
TEST_0011,1
TEST_0012,0
TEST_0013,0
TEST_0014,1
TEST_0015,1
TEST_0016,1
TEST_0017,1
TEST_0018,1
TEST_0019,0
TEST_0020,0
TEST_0021,1
TEST_0022,0
TEST_0023,1
TEST_0024,1
TEST_0025,1
TEST_0026,0
TEST_0027,1
TEST_0028,0
TEST_0029,0
TEST_0030,0
TEST_0031,1
TEST_0032,1
TEST_0033,0
TEST_0034,0
TEST_0035,1
TEST_0036,1
TEST_0037,1
TEST_0038,1
TEST_0039,0
TEST_0040,1
TEST_0041,0
TEST_0042,1
TEST_0043,1
TEST_0044,1
TEST_0045,0
TEST_0046,0
TEST_0047,0
TEST_0048,1
TEST_0049,1
TEST_0050,0
TEST_0051,0
TEST_0052,0
TEST_0053,0
TEST_0054,1
TEST_0055,0
TEST_0056,1
TEST_0057,0
TEST_0058,1
TEST_0059,1
TEST_0060,1
TEST_0061,1
TEST_0062,1
TEST_0063,1
TEST_0064,1
TEST_0065,1
TEST_0066,1
TEST_0067,1
TEST_0068,1
TEST_0069,1
TEST_0070,1
TEST_0071,1
TEST_0072,1
TEST_0073,1
TEST_0074,0
TEST_0075,0
TEST_0076,1
TEST_0077,0
TEST_0078,1
TEST_0079,1
TEST_0080,1
TEST_0081,1
TEST_0082,1
TEST_0083,1
TEST_0084,0
TEST_0085,0
TEST_0086,1
TEST_0087,0
TEST_0088,0
TEST_0089,1
TEST_0090,1
TEST_0091,1
TEST_0092,1
TEST_0093,1
TEST_0094,1
TEST_0095,1
TEST_0096,0
TEST_0097,1
TEST_0098,1
TEST_0099,1
TEST_0100,1
TEST_0101,0
TEST_0102,1
TEST_0103,0
TEST_0104,1
TEST_0105,0
TEST_0106,1
TEST_0107,0
TEST_0108,1
TEST_0109,0
TEST_0110,1
TEST_0111,1
TEST_0112,1
TEST_0113,1
TEST_0114,1
TEST_0115,0
TEST_0116,0
TEST_0117,1
TEST_0118,1
TEST_0119,1
TEST_0120,1
TEST_0121,1
TEST_0122,1
TEST_0123,1
TEST_0124,1
TEST_0125,0
TEST_0126,1
TEST_0127,1
TEST_0128,0
TEST_0129,0
TEST_0130,0
TEST_0131,1
TEST_0132,1
TEST_0133,1
TEST_0134,1
TEST_0135,0
TEST_0136,1
TEST_0137,0
TEST_0138,1
TEST_0139,0
TEST_0140,1
TEST_0141,0
TEST_0142,0
TEST_0143,0
TEST_0144,1
TEST_0145,1
TEST_0146,0
TEST_0147,1
TEST_0148,0
TEST_0149,1
TEST_0150,1
TEST_0151,1
TEST_0152,1
TEST_0153,1
TEST_0154,1
TEST_0155,1
TEST_0156,1
TEST_0157,0
TEST_0158,1
TEST_0159,1
TEST_0160,0
TEST_0161,1
TEST_0162,0
TEST_0163,0
TEST_0164,1
TEST_0165,1
TEST_0166,1
TEST_0167,0
TEST_0168,1
TEST_0169,0
TEST_0170,1
TEST_0171,1
TEST_0172,0
TEST_0173,0
TEST_0174,1
TEST_0175,0
TEST_0176,1
TEST_0177,1
TEST_0178,0
TEST_0179,1
TEST_0180,1
TEST_0181,1
TEST_0182,1
TEST_0183,1
TEST_0184,1
TEST_0185,0
TEST_0186,1
TEST_0187,1
TEST_0188,1
TEST_0189,1
TEST_0190,0
TEST_0191,1
TEST_0192,0
TEST_0193,0
TEST_0194,0
TEST_0195,1
TEST_0196,0
TEST_0197,1
TEST_0198,1
TEST_0199,0
TEST_0200,1
TEST_0201,1
TEST_0202,0
TEST_0203,0
TEST_0204,0
TEST_0205,1
TEST_0206,1
TEST_0207,1
TEST_0208,1
TEST_0209,1
TEST_0210,0
TEST_0211,1
TEST_0212,1
TEST_0213,0
TEST_0214,1
TEST_0215,1
TEST_0216,1
TEST_0217,0
TEST_0218,1
TEST_0219,1
TEST_0220,0
TEST_0221,1
TEST_0222,0
TEST_0223,1
TEST_0224,0
TEST_0225,0
TEST_0226,1
TEST_0227,0
TEST_0228,0
TEST_0229,1
TEST_0230,1
TEST_0231,1
TEST_0232,1
TEST_0233,1
TEST_0234,0
TEST_0235,1
TEST_0236,1
TEST_0237,1
TEST_0238,1
TEST_0239,1
TEST_0240,1
TEST_0241,1
TEST_0242,1
TEST_0243,1
TEST_0244,1
TEST_0245,1
TEST_0246,0
TEST_0247,1
TEST_0248,1
TEST_0249,0
TEST_0250,1
TEST_0251,1
TEST_0252,1
TEST_0253,0
TEST_0254,0
TEST_0255,0
TEST_0256,1
TEST_0257,1
TEST_0258,0
TEST_0259,1
TEST_0260,1
TEST_0261,1
TEST_0262,1
TEST_0263,0
TEST_0264,1
TEST_0265,0
TEST_0266,1
TEST_0267,0
TEST_0268,1
TEST_0269,1
TEST_0270,1
TEST_0271,1
TEST_0272,1
TEST_0273,0
TEST_0274,0
TEST_0275,0
TEST_0276,1
TEST_0277,1
TEST_0278,0
TEST_0279,0
TEST_0280,1
TEST_0281,1
TEST_0282,1
TEST_0283,0
TEST_0284,1
TEST_0285,1
TEST_0286,1
TEST_0287,1
TEST_0288,0
TEST_0289,1
TEST_0290,0
TEST_0291,0
TEST_0292,1
TEST_0293,0
TEST_0294,1
TEST_0295,1
TEST_0296,1
TEST_0297,1
TEST_0298,0
TEST_0299,1
TEST_0300,1
TEST_0301,0
TEST_0302,0
TEST_0303,0
TEST_0304,1
TEST_0305,0
TEST_0306,1
TEST_0307,1
TEST_0308,1
TEST_0309,1
TEST_0310,1
TEST_0311,1
TEST_0312,0
TEST_0313,1
TEST_0314,0
TEST_0315,0
TEST_0316,0
TEST_0317,1
TEST_0318,0
TEST_0319,1
TEST_0320,1
TEST_0321,0
TEST_0322,1
TEST_0323,1
TEST_0324,1
TEST_0325,0
TEST_0326,1
TEST_0327,1
TEST_0328,1
TEST_0329,0
TEST_0330,0
TEST_0331,1
TEST_0332,1
TEST_0333,1
TEST_0334,0
TEST_0335,0
TEST_0336,0
TEST_0337,0
TEST_0338,0
TEST_0339,1
TEST_0340,1
TEST_0341,1
TEST_0342,0
TEST_0343,0
TEST_0344,1
TEST_0345,1
TEST_0346,1
TEST_0347,1
TEST_0348,1
TEST_0349,0
TEST_0350,1
TEST_0351,0
TEST_0352,1
TEST_0353,0
TEST_0354,1
TEST_0355,0
TEST_0356,0
TEST_0357,0
TEST_0358,0
TEST_0359,1
TEST_0360,1
TEST_0361,0
TEST_0362,1
TEST_0363,0
TEST_0364,1
TEST_0365,1
TEST_0366,1
TEST_0367,0
TEST_0368,0
TEST_0369,1
TEST_0370,0
TEST_0371,0
TEST_0372,1
TEST_0373,1
TEST_0374,0
TEST_0375,1
TEST_0376,0
TEST_0377,1
TEST_0378,1
TEST_0379,1
TEST_0380,1
TEST_0381,1
TEST_0382,1
TEST_0383,1
TEST_0384,1
TEST_0385,0
TEST_0386,0
TEST_0387,1
TEST_0388,1
TEST_0389,1
TEST_0390,1
TEST_0391,1
TEST_0392,0
TEST_0393,1
TEST_0394,1
TEST_0395,0
TEST_0396,1
TEST_0397,1
TEST_0398,0
TEST_0399,0
TEST_0400,0
TEST_0401,1
TEST_0402,1
TEST_0403,1
TEST_0404,0
TEST_0405,0
TEST_0406,0
TEST_0407,0
TEST_0408,1
TEST_0409,1
TEST_0410,0
TEST_0411,1
TEST_0412,0
TEST_0413,0
TEST_0414,0
TEST_0415,0
TEST_0416,1
TEST_0417,1
TEST_0418,1
TEST_0419,1
TEST_0420,1
TEST_0421,1
TEST_0422,1
TEST_0423,1
TEST_0424,1
TEST_0425,1
TEST_0426,1
TEST_0427,0
TEST_0428,0
TEST_0429,0
TEST_0430,0
TEST_0431,1
TEST_0432,1
TEST_0433,1
TEST_0434,0
TEST_0435,1
TEST_0436,1
TEST_0437,0
TEST_0438,1
TEST_0439,1
TEST_0440,0
TEST_0441,0
TEST_0442,1
TEST_0443,0
TEST_0444,0
TEST_0445,1
TEST_0446,1
TEST_0447,0
TEST_0448,1
TEST_0449,1
TEST_0450,0
TEST_0451,1
TEST_0452,0
TEST_0453,1
TEST_0454,1
TEST_0455,0
TEST_0456,1
TEST_0457,1
TEST_0458,0
TEST_0459,1
TEST_0460,1
TEST_0461,0
TEST_0462,0
TEST_0463,1
TEST_0464,0
TEST_0465,1
TEST_0466,1
TEST_0467,1
TEST_0468,1
TEST_0469,1
TEST_0470,1
TEST_0471,1
TEST_0472,1
TEST_0473,1
TEST_0474,1
TEST_0475,0
TEST_0476,0
TEST_0477,1
TEST_0478,1
TEST_0479,0
TEST_0480,1
TEST_0481,1
TEST_0482,1
TEST_0483,1
TEST_0484,1
TEST_0485,1
TEST_0486,1
TEST_0487,1
TEST_0488,0
TEST_0489,0
TEST_0490,0
TEST_0491,1
TEST_0492,1
TEST_0493,0
TEST_0494,0
TEST_0495,1
TEST_0496,1
TEST_0497,1
TEST_0498,1
TEST_0499,0
TEST_0500,1
TEST_0501,0
TEST_0502,1
TEST_0503,0
TEST_0504,0
TEST_0505,0
TEST_0506,1
TEST_0507,1
TEST_0508,0
TEST_0509,0
TEST_0510,1
TEST_0511,1
TEST_0512,1
TEST_0513,0
TEST_0514,0
TEST_0515,1
TEST_0516,0
TEST_0517,1
TEST_0518,0
TEST_0519,0
TEST_0520,1
TEST_0521,0
TEST_0522,0
TEST_0523,0
TEST_0524,0
TEST_0525,0
TEST_0526,1
TEST_0527,0
TEST_0528,0
TEST_0529,1
TEST_0530,1
TEST_0531,1
TEST_0532,0
TEST_0533,1
TEST_0534,1
TEST_0535,1
TEST_0536,1
TEST_0537,0
TEST_0538,0
TEST_0539,0
TEST_0540,1
TEST_0541,1
TEST_0542,0
TEST_0543,0
TEST_0544,1
TEST_0545,0
TEST_0546,1
TEST_0547,0
TEST_0548,1
TEST_0549,1
TEST_0550,1
TEST_0551,1
TEST_0552,1
TEST_0553,0
TEST_0554,1
TEST_0555,0
TEST_0556,0
TEST_0557,1
TEST_0558,1
TEST_0559,1
TEST_0560,0
TEST_0561,1
TEST_0562,1
TEST_0563,1
TEST_0564,1
TEST_0565,1
TEST_0566,1
TEST_0567,1
TEST_0568,0
TEST_0569,1
TEST_0570,1
TEST_0571,1
TEST_0572,0
TEST_0573,0
TEST_0574,1
TEST_0575,1
TEST_0576,1
TEST_0577,1
TEST_0578,1
TEST_0579,1
TEST_0580,0
TEST_0581,0
TEST_0582,0
TEST_0583,1
TEST_0584,1
TEST_0585,0
TEST_0586,1
TEST_0587,1
TEST_0588,0
TEST_0589,1
TEST_0590,0
TEST_0591,1
TEST_0592,1
TEST_0593,1
TEST_0594,1
TEST_0595,0
TEST_0596,1
TEST_0597,1
TEST_0598,1
TEST_0599,0
TEST_0600,0
TEST_0601,1
TEST_0602,1
TEST_0603,1
TEST_0604,1
TEST_0605,0
TEST_0606,0
TEST_0607,1
TEST_0608,1
TEST_0609,0
TEST_0610,1
TEST_0611,0
TEST_0612,0
TEST_0613,1
TEST_0614,0
TEST_0615,1
TEST_0616,1
TEST_0617,0
TEST_0618,0
TEST_0619,1
TEST_0620,0
TEST_0621,1
TEST_0622,1
TEST_0623,1
TEST_0624,0
TEST_0625,1
TEST_0626,1
TEST_0627,1
TEST_0628,0
TEST_0629,1
TEST_0630,0
TEST_0631,1
TEST_0632,0
TEST_0633,0
TEST_0634,1
TEST_0635,0
TEST_0636,0
TEST_0637,1
TEST_0638,1
TEST_0639,0
TEST_0640,0
TEST_0641,1
TEST_0642,1
TEST_0643,1
TEST_0644,1
TEST_0645,1
TEST_0646,1
TEST_0647,1
TEST_0648,0
TEST_0649,0
TEST_0650,1
TEST_0651,0
TEST_0652,1
TEST_0653,0
TEST_0654,1
TEST_0655,1
TEST_0656,0
TEST_0657,0
TEST_0658,1
TEST_0659,1
TEST_0660,1
TEST_0661,1
TEST_0662,1
TEST_0663,1
TEST_0664,1
TEST_0665,0
TEST_0666,1
TEST_0667,1
TEST_0668,0
TEST_0669,1
TEST_0670,1
TEST_0671,1
TEST_0672,1
TEST_0673,0
TEST_0674,0
TEST_0675,0
TEST_0676,0
TEST_0677,1
TEST_0678,1
TEST_0679,1
TEST_0680,0
TEST_0681,1
TEST_0682,1
TEST_0683,1
TEST_0684,1
TEST_0685,1
TEST_0686,1
TEST_0687,0
TEST_0688,1
TEST_0689,1
TEST_0690,1
TEST_0691,1
TEST_0692,0
TEST_0693,1
TEST_0694,1
TEST_0695,1
TEST_0696,1
TEST_0697,0
TEST_0698,1
TEST_0699,1
