base_year_month,time_range,sex,age_range,user_count
201901,09~12,남성,20대 이하,33760
201901,09~12,남성,30대,132276
201901,09~12,남성,40대,173193
201901,09~12,남성,50대,108671
201901,09~12,남성,60대,37139
201901,09~12,남성,70대 이상,6627
201901,09~12,여성,20대 이하,52114
201901,09~12,여성,30대,129222
201901,09~12,여성,40대,151925
201901,09~12,여성,50대,94288
201901,09~12,여성,60대,25529
201901,09~12,여성,70대 이상,5778
201901,12~15,남성,20대 이하,83178
201901,12~15,남성,30대,327138
201901,12~15,남성,40대,451692
201901,12~15,남성,50대,291489
201901,12~15,남성,60대,104893
201901,12~15,남성,70대 이상,26415
201901,12~15,여성,20대 이하,137242
201901,12~15,여성,30대,309188
201901,12~15,여성,40대,402645
201901,12~15,여성,50대,255525
201901,12~15,여성,60대,75851
201901,12~15,여성,70대 이상,15647
201901,15~18,남성,20대 이하,56660
201901,15~18,남성,30대,186396
201901,15~18,남성,40대,228743
201901,15~18,남성,50대,134099
201901,15~18,남성,60대,42794
201901,15~18,남성,70대 이상,9353
201901,15~18,여성,20대 이하,101415
201901,15~18,여성,30대,209234
201901,15~18,여성,40대,251834
201901,15~18,여성,50대,151900
201901,15~18,여성,60대,43180
201901,15~18,여성,70대 이상,7982
201901,18~21,남성,20대 이하,89249
201901,18~21,남성,30대,293417
201901,18~21,남성,40대,397669
201901,18~21,남성,50대,261874
201901,18~21,남성,60대,83724
201901,18~21,남성,70대 이상,15186
201901,18~21,여성,20대 이하,135073
201901,18~21,여성,30대,242012
201901,18~21,여성,40대,311974
201901,18~21,여성,50대,205282
201901,18~21,여성,60대,51914
201901,18~21,여성,70대 이상,8640
201901,21~24,남성,20대 이하,55196
201901,21~24,남성,30대,153854
201901,21~24,남성,40대,180259
201901,21~24,남성,50대,111606
201901,21~24,남성,60대,25759
201901,21~24,남성,70대 이상,2982
201901,21~24,여성,20대 이하,65323
201901,21~24,여성,30대,85887
201901,21~24,여성,40대,107624
201901,21~24,여성,50대,70464
201901,21~24,여성,60대,14058
201901,21~24,여성,70대 이상,2804
201901,기타,남성,20대 이하,36553
201901,기타,남성,30대,84724
201901,기타,남성,40대,95377
201901,기타,남성,50대,61148
201901,기타,남성,60대,17854
201901,기타,남성,70대 이상,2264
201901,기타,여성,20대 이하,34423
201901,기타,여성,30대,42861
201901,기타,여성,40대,49127
201901,기타,여성,50대,33246
201901,기타,여성,60대,9420
201901,기타,여성,70대 이상,1586
201902,09~12,남성,20대 이하,31344
201902,09~12,남성,30대,121457
201902,09~12,남성,40대,161565
201902,09~12,남성,50대,100239
201902,09~12,남성,60대,32579
201902,09~12,남성,70대 이상,6015
201902,09~12,여성,20대 이하,46944
201902,09~12,여성,30대,113194
201902,09~12,여성,40대,136749
201902,09~12,여성,50대,85686
201902,09~12,여성,60대,22797
201902,09~12,여성,70대 이상,4659
201902,12~15,남성,20대 이하,74444
201902,12~15,남성,30대,293106
201902,12~15,남성,40대,397617
201902,12~15,남성,50대,255623
201902,12~15,남성,60대,92925
201902,12~15,남성,70대 이상,24013
201902,12~15,여성,20대 이하,116019
201902,12~15,여성,30대,269916
201902,12~15,여성,40대,346429
201902,12~15,여성,50대,219295
201902,12~15,여성,60대,63874
201902,12~15,여성,70대 이상,12326
201902,15~18,남성,20대 이하,52988
201902,15~18,남성,30대,179575
201902,15~18,남성,40대,219412
201902,15~18,남성,50대,125892
201902,15~18,남성,60대,40356
201902,15~18,남성,70대 이상,8176
201902,15~18,여성,20대 이하,91720
201902,15~18,여성,30대,186761
201902,15~18,여성,40대,225537
201902,15~18,여성,50대,132009
201902,15~18,여성,60대,37946
201902,15~18,여성,70대 이상,6757
201902,18~21,남성,20대 이하,77861
201902,18~21,남성,30대,268994
201902,18~21,남성,40대,359769
201902,18~21,남성,50대,224055
201902,18~21,남성,60대,74217
201902,18~21,남성,70대 이상,13874
201902,18~21,여성,20대 이하,114471
201902,18~21,여성,30대,212936
201902,18~21,여성,40대,278274
201902,18~21,여성,50대,173410
201902,18~21,여성,60대,47764
201902,18~21,여성,70대 이상,8751
201902,21~24,남성,20대 이하,51436
201902,21~24,남성,30대,143913
201902,21~24,남성,40대,166850
201902,21~24,남성,50대,94867
201902,21~24,남성,60대,23241
201902,21~24,남성,70대 이상,2951
201902,21~24,여성,20대 이하,58632
201902,21~24,여성,30대,80530
201902,21~24,여성,40대,94144
201902,21~24,여성,50대,58555
201902,21~24,여성,60대,13088
201902,21~24,여성,70대 이상,2571
201902,기타,남성,20대 이하,33774
201902,기타,남성,30대,77609
201902,기타,남성,40대,80599
201902,기타,남성,50대,52695
201902,기타,남성,60대,14310
201902,기타,남성,70대 이상,2070
201902,기타,여성,20대 이하,29787
201902,기타,여성,30대,39011
201902,기타,여성,40대,41043
201902,기타,여성,50대,29144
201902,기타,여성,60대,7428
201902,기타,여성,70대 이상,1836
201903,09~12,남성,20대 이하,40451
201903,09~12,남성,30대,150544
201903,09~12,남성,40대,168688
201903,09~12,남성,50대,110597
201903,09~12,남성,60대,40512
201903,09~12,남성,70대 이상,7457
201903,09~12,여성,20대 이하,65018
201903,09~12,여성,30대,147589
201903,09~12,여성,40대,139404
201903,09~12,여성,50대,99199
201903,09~12,여성,60대,29463
201903,09~12,여성,70대 이상,6598
201903,12~15,남성,20대 이하,91066
201903,12~15,남성,30대,346710
201903,12~15,남성,40대,408213
201903,12~15,남성,50대,276139
201903,12~15,남성,60대,111100
201903,12~15,남성,70대 이상,29485
201903,12~15,여성,20대 이하,152802
201903,12~15,여성,30대,327540
201903,12~15,여성,40대,353005
201903,12~15,여성,50대,250122
201903,12~15,여성,60대,80161
201903,12~15,여성,70대 이상,17716
201903,15~18,남성,20대 이하,62576
201903,15~18,남성,30대,200005
201903,15~18,남성,40대,208598
201903,15~18,남성,50대,124566
201903,15~18,남성,60대,44805
201903,15~18,남성,70대 이상,9183
201903,15~18,여성,20대 이하,114889
201903,15~18,여성,30대,219759
201903,15~18,여성,40대,217314
201903,15~18,여성,50대,142447
201903,15~18,여성,60대,43715
201903,15~18,여성,70대 이상,8012
201903,18~21,남성,20대 이하,94303
201903,18~21,남성,30대,307896
201903,18~21,남성,40대,359682
201903,18~21,남성,50대,238862
201903,18~21,남성,60대,89318
201903,18~21,남성,70대 이상,17032
201903,18~21,여성,20대 이하,142270
201903,18~21,여성,30대,253661
201903,18~21,여성,40대,281109
201903,18~21,여성,50대,201636
201903,18~21,여성,60대,57700
201903,18~21,여성,70대 이상,9548
201903,21~24,남성,20대 이하,57848
201903,21~24,남성,30대,157128
201903,21~24,남성,40대,171568
201903,21~24,남성,50대,109301
201903,21~24,남성,60대,28241
201903,21~24,남성,70대 이상,3608
201903,21~24,여성,20대 이하,69253
201903,21~24,여성,30대,88410
201903,21~24,여성,40대,99646
201903,21~24,여성,50대,66963
201903,21~24,여성,60대,15761
201903,21~24,여성,70대 이상,2740
201903,기타,남성,20대 이하,38113
201903,기타,남성,30대,85130
201903,기타,남성,40대,95991
201903,기타,남성,50대,63248
201903,기타,남성,60대,18877
201903,기타,남성,70대 이상,3105
201903,기타,여성,20대 이하,35141
201903,기타,여성,30대,44381
201903,기타,여성,40대,48197
201903,기타,여성,50대,33843
201903,기타,여성,60대,9787
201903,기타,여성,70대 이상,2441
201904,09~12,남성,20대 이하,40299
201904,09~12,남성,30대,157324
201904,09~12,남성,40대,169373
201904,09~12,남성,50대,108855
201904,09~12,남성,60대,42288
201904,09~12,남성,70대 이상,8224
201904,09~12,여성,20대 이하,65965
201904,09~12,여성,30대,153809
201904,09~12,여성,40대,145057
201904,09~12,여성,50대,97420
201904,09~12,여성,60대,31873
201904,09~12,여성,70대 이상,5636
201904,12~15,남성,20대 이하,90855
201904,12~15,남성,30대,350074
201904,12~15,남성,40대,419521
201904,12~15,남성,50대,271024
201904,12~15,남성,60대,110758
201904,12~15,남성,70대 이상,27388
201904,12~15,여성,20대 이하,149332
201904,12~15,여성,30대,327594
201904,12~15,여성,40대,347412
201904,12~15,여성,50대,239639
201904,12~15,여성,60대,84286
201904,12~15,여성,70대 이상,16781
201904,15~18,남성,20대 이하,61725
201904,15~18,남성,30대,199958
201904,15~18,남성,40대,206493
201904,15~18,남성,50대,115249
201904,15~18,남성,60대,46001
201904,15~18,남성,70대 이상,9828
201904,15~18,여성,20대 이하,110332
201904,15~18,여성,30대,213989
201904,15~18,여성,40대,213925
201904,15~18,여성,50대,139003
201904,15~18,여성,60대,42874
201904,15~18,여성,70대 이상,8263
201904,18~21,남성,20대 이하,94573
201904,18~21,남성,30대,318723
201904,18~21,남성,40대,364947
201904,18~21,남성,50대,238842
201904,18~21,남성,60대,87152
201904,18~21,남성,70대 이상,17964
201904,18~21,여성,20대 이하,138743
201904,18~21,여성,30대,251844
201904,18~21,여성,40대,283974
201904,18~21,여성,50대,195473
201904,18~21,여성,60대,57891
201904,18~21,여성,70대 이상,10398
201904,21~24,남성,20대 이하,62055
201904,21~24,남성,30대,155407
201904,21~24,남성,40대,171829
201904,21~24,남성,50대,106942
201904,21~24,남성,60대,29448
201904,21~24,남성,70대 이상,3772
201904,21~24,여성,20대 이하,69574
201904,21~24,여성,30대,88578
201904,21~24,여성,40대,101575
201904,21~24,여성,50대,68615
201904,21~24,여성,60대,15435
201904,21~24,여성,70대 이상,2474
201904,기타,남성,20대 이하,38245
201904,기타,남성,30대,80086
201904,기타,남성,40대,94522
201904,기타,남성,50대,62003
201904,기타,남성,60대,20978
201904,기타,남성,70대 이상,3237
201904,기타,여성,20대 이하,37689
201904,기타,여성,30대,48460
201904,기타,여성,40대,51799
201904,기타,여성,50대,37317
201904,기타,여성,60대,10277
201904,기타,여성,70대 이상,2059
201905,09~12,남성,20대 이하,44055
201905,09~12,남성,30대,173725
201905,09~12,남성,40대,195983
201905,09~12,남성,50대,112389
201905,09~12,남성,60대,41511
201905,09~12,남성,70대 이상,9273
201905,09~12,여성,20대 이하,66012
201905,09~12,여성,30대,164589
201905,09~12,여성,40대,159421
201905,09~12,여성,50대,98954
201905,09~12,여성,60대,31139
201905,09~12,여성,70대 이상,6592
201905,12~15,남성,20대 이하,98423
201905,12~15,남성,30대,386742
201905,12~15,남성,40대,465355
201905,12~15,남성,50대,287121
201905,12~15,남성,60대,112202
201905,12~15,남성,70대 이상,30408
201905,12~15,여성,20대 이하,159218
201905,12~15,여성,30대,347312
201905,12~15,여성,40대,384439
201905,12~15,여성,50대,243967
201905,12~15,여성,60대,83903
201905,12~15,여성,70대 이상,17441
201905,15~18,남성,20대 이하,64855
201905,15~18,남성,30대,217025
201905,15~18,남성,40대,236247
201905,15~18,남성,50대,125840
201905,15~18,남성,60대,43099
201905,15~18,남성,70대 이상,9979
201905,15~18,여성,20대 이하,119527
201905,15~18,여성,30대,227163
201905,15~18,여성,40대,240804
201905,15~18,여성,50대,139903
201905,15~18,여성,60대,45218
201905,15~18,여성,70대 이상,9327
201905,18~21,남성,20대 이하,100076
201905,18~21,남성,30대,348983
201905,18~21,남성,40대,411970
201905,18~21,남성,50대,257151
201905,18~21,남성,60대,90605
201905,18~21,남성,70대 이상,18475
201905,18~21,여성,20대 이하,150103
201905,18~21,여성,30대,276308
201905,18~21,여성,40대,324022
201905,18~21,여성,50대,204804
201905,18~21,여성,60대,58992
201905,18~21,여성,70대 이상,10616
201905,21~24,남성,20대 이하,65079
201905,21~24,남성,30대,175116
201905,21~24,남성,40대,195358
201905,21~24,남성,50대,122214
201905,21~24,남성,60대,31643
201905,21~24,남성,70대 이상,4495
201905,21~24,여성,20대 이하,75239
201905,21~24,여성,30대,98630
201905,21~24,여성,40대,118125
201905,21~24,여성,50대,74035
201905,21~24,여성,60대,16489
201905,21~24,여성,70대 이상,2998
201905,기타,남성,20대 이하,41354
201905,기타,남성,30대,91309
201905,기타,남성,40대,104964
201905,기타,남성,50대,68763
201905,기타,남성,60대,20004
201905,기타,남성,70대 이상,2987
201905,기타,여성,20대 이하,38755
201905,기타,여성,30대,52110
201905,기타,여성,40대,57488
201905,기타,여성,50대,40140
201905,기타,여성,60대,11079
201905,기타,여성,70대 이상,2416
201906,09~12,남성,20대 이하,45537
201906,09~12,남성,30대,182034
201906,09~12,남성,40대,198500
201906,09~12,남성,50대,105429
201906,09~12,남성,60대,36681
201906,09~12,남성,70대 이상,7229
201906,09~12,여성,20대 이하,70605
201906,09~12,여성,30대,172405
201906,09~12,여성,40대,166543
201906,09~12,여성,50대,95925
201906,09~12,여성,60대,30219
201906,09~12,여성,70대 이상,5582
201906,12~15,남성,20대 이하,102131
201906,12~15,남성,30대,391099
201906,12~15,남성,40대,463761
201906,12~15,남성,50대,273388
201906,12~15,남성,60대,103395
201906,12~15,남성,70대 이상,29401
201906,12~15,여성,20대 이하,166869
201906,12~15,여성,30대,373217
201906,12~15,여성,40대,382121
201906,12~15,여성,50대,234640
201906,12~15,여성,60대,80887
201906,12~15,여성,70대 이상,16962
201906,15~18,남성,20대 이하,70711
201906,15~18,남성,30대,235623
201906,15~18,남성,40대,241895
201906,15~18,남성,50대,124076
201906,15~18,남성,60대,41546
201906,15~18,남성,70대 이상,9174
201906,15~18,여성,20대 이하,123994
201906,15~18,여성,30대,243711
201906,15~18,여성,40대,236816
201906,15~18,여성,50대,140531
201906,15~18,여성,60대,42252
201906,15~18,여성,70대 이상,7161
201906,18~21,남성,20대 이하,106911
201906,18~21,남성,30대,350621
201906,18~21,남성,40대,408642
201906,18~21,남성,50대,243689
201906,18~21,남성,60대,85525
201906,18~21,남성,70대 이상,17968
201906,18~21,여성,20대 이하,152351
201906,18~21,여성,30대,287537
201906,18~21,여성,40대,318046
201906,18~21,여성,50대,199758
201906,18~21,여성,60대,60300
201906,18~21,여성,70대 이상,10942
201906,21~24,남성,20대 이하,68519
201906,21~24,남성,30대,180603
201906,21~24,남성,40대,197587
201906,21~24,남성,50대,119272
201906,21~24,남성,60대,30301
201906,21~24,남성,70대 이상,4173
201906,21~24,여성,20대 이하,78525
201906,21~24,여성,30대,108924
