기준년월,관광객 유형,제주 대분류,제주 중분류,업종명,성별,연령대별, 카드이용금액 , 카드이용건수 ,건당이용금액,데이터기준일자
2014-09,내국인 관광객,서귀포시,대륜동,농축수산품,여,50대,14434000,67,215433,2017-02-16
2014-09,내국인 관광객,서귀포시,대륜동,농축수산품,남,50대,15119000,72,209986,2017-02-16
2014-09,내국인 관광객,서귀포시,대륜동,농축수산품,여,40대,7609500,41,185598,2017-02-16
2014-09,내국인 관광객,서귀포시,남원읍,농축수산품,남,50대,7092500,40,177313,2017-02-16
2014-09,내국인 관광객,서귀포시,대륜동,농축수산품,남,40대,9098500,59,154212,2017-02-16
2014-09,내국인 관광객,제주시,연동,스포츠레져용품,남,50대,10267600,71,144614,2017-02-16
2014-09,내국인 관광객,서귀포시,예래동,농축수산품,남,50대,4125000,30,137500,2017-02-16
2014-09,내국인 관광객,제주시,연동,스포츠레져용품,여,40대,7412800,55,134778,2017-02-16
2014-09,내국인 관광객,제주시,연동,스포츠레져용품,여,30대,11925400,95,125531,2017-02-16
2014-09,내국인 관광객,서귀포시,남원읍,골프 용품,남,50대,1727400,14,123386,2017-02-16
2014-09,내국인 관광객,제주시,연동,악세 사리,남,50대,1197800,10,119780,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,스포츠레져용품,여,30대,1177000,10,117700,2017-02-16
2014-09,내국인 관광객,제주시,삼도2동,농축수산품,남,50대,1741000,15,116067,2017-02-16
2014-09,내국인 관광객,제주시,연동,스포츠레져용품,남,30대,14132700,122,115842,2017-02-16
2014-09,내국인 관광객,제주시,용담2동,의원,남,40대,1273970,11,115815,2017-02-16
2014-09,내국인 관광객,제주시,노형동,스포츠레져용품,남,50대,1363200,12,113600,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,스포츠레져용품,남,40대,1574500,14,112464,2017-02-16
2014-09,내국인 관광객,제주시,연동,스포츠레져용품,남,40대,11930300,109,109452,2017-02-16
2014-09,내국인 관광객,제주시,연동,스포츠레져용품,여,50대,5034200,46,109439,2017-02-16
2014-09,내국인 관광객,제주시,노형동,안경,남,40대,1175000,11,106818,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,스포츠레져용품,남,30대,2232500,21,106310,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,스포츠레져용품,남,50대,1060000,10,106000,2017-02-16
2014-09,내국인 관광객,제주시,연동,의원,여,50대,3348200,32,104631,2017-02-16
2014-09,내국인 관광객,제주시,삼도2동,스포츠레져용품,남,50대,3209500,31,103532,2017-02-16
2014-09,내국인 관광객,서귀포시,대륜동,농축수산품,남,30대,6990000,68,102794,2017-02-16
2014-09,내국인 관광객,제주시,연동,정장(여성),남,30대,4477100,44,101752,2017-02-16
2014-09,내국인 관광객,제주시,연동,농축수산품,남,40대,4167700,42,99231,2017-02-16
2014-09,내국인 관광객,제주시,삼도2동,정장(여성),여,50대,1974700,20,98735,2017-02-16
2014-09,내국인 관광객,제주시,삼도2동,의원,남,40대,1380100,14,98579,2017-02-16
2014-09,내국인 관광객,제주시,삼도2동,농축수산품,남,40대,1966000,20,98300,2017-02-16
2014-09,내국인 관광객,제주시,삼도2동,의원,여,20대,1367500,14,97679,2017-02-16
2014-09,내국인 관광객,제주시,노형동,스포츠레져용품,남,30대,1362500,14,97321,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,안경,남,30대,1736000,18,96444,2017-02-16
2014-09,내국인 관광객,제주시,노형동,스포츠레져용품,남,40대,2010800,21,95752,2017-02-16
2014-09,내국인 관광객,서귀포시,예래동,농축수산품,남,30대,7605900,80,95074,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,정장(여성),여,30대,4071200,43,94679,2017-02-16
2014-09,내국인 관광객,제주시,연동,농축수산품,남,50대,4813300,51,94378,2017-02-16
2014-09,내국인 관광객,제주시,연동,정장(여성),여,50대,2629300,28,93904,2017-02-16
2014-09,내국인 관광객,제주시,삼도2동,스포츠레져용품,여,50대,1217400,13,93646,2017-02-16
2014-09,내국인 관광객,제주시,연동,정장(여성),남,40대,1684800,18,93600,2017-02-16
2014-09,내국인 관광객,제주시,삼도2동,농축수산품,남,30대,1306000,14,93286,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,농축수산품,남,50대,18255120,197,92666,2017-02-16
2014-09,내국인 관광객,서귀포시,남원읍,농축수산품,여,50대,2122900,23,92300,2017-02-16
2014-09,내국인 관광객,제주시,연동,농축수산품,여,20대,1013000,11,92091,2017-02-16
2014-09,내국인 관광객,제주시,연동,스포츠레져용품,남,20대,4747700,52,91302,2017-02-16
2014-09,내국인 관광객,제주시,삼도2동,악세 사리,남,40대,995200,11,90473,2017-02-16
2014-09,내국인 관광객,서귀포시,예래동,농축수산품,여,40대,1969800,22,89536,2017-02-16
2014-09,내국인 관광객,제주시,연동,스포츠레져용품,여,20대,7965600,89,89501,2017-02-16
2014-09,내국인 관광객,제주시,노형동,농축수산품,남,50대,4441700,50,88834,2017-02-16
2014-09,내국인 관광객,제주시,애월읍,골프 용품,남,50대,963600,11,87600,2017-02-16
2014-09,내국인 관광객,제주시,삼도2동,스포츠레져용품,남,20대,1648400,19,86758,2017-02-16
2014-09,내국인 관광객,제주시,삼도2동,농축수산품,여,50대,2069000,24,86208,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,농축수산품,여,50대,12952450,153,84657,2017-02-16
2014-09,내국인 관광객,제주시,연동,기념품 점,남,40대,2537000,31,81839,2017-02-16
2014-09,내국인 관광객,제주시,연동,악세 사리,여,50대,1470700,18,81706,2017-02-16
2014-09,내국인 관광객,제주시,노형동,농축수산품,여,50대,2265500,28,80911,2017-02-16
2014-09,내국인 관광객,제주시,노형동,정장(여성),여,30대,1920300,24,80013,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,정장(여성),여,40대,799600,10,79960,2017-02-16
2014-09,내국인 관광객,제주시,연동,안경,여,30대,1348000,17,79294,2017-02-16
2014-09,내국인 관광객,제주시,연동,정장(여성),여,40대,3285800,42,78233,2017-02-16
2014-09,내국인 관광객,제주시,연동,농축수산품,여,40대,1970800,26,75800,2017-02-16
2014-09,내국인 관광객,제주시,노형동,정장(여성),여,40대,1875500,25,75020,2017-02-16
2014-09,내국인 관광객,제주시,연동,농축수산품,남,30대,2461880,33,74602,2017-02-16
2014-09,내국인 관광객,제주시,용담2동,농축수산품,남,50대,37369134,502,74441,2017-02-16
2014-09,내국인 관광객,제주시,노형동,기념품 점,남,50대,893000,12,74417,2017-02-16
2014-09,내국인 관광객,제주시,삼도2동,스포츠레져용품,여,40대,2227100,30,74237,2017-02-16
2014-09,내국인 관광객,제주시,삼도2동,악세 사리,여,40대,1324600,18,73589,2017-02-16
2014-09,내국인 관광객,제주시,연동,악세 사리,남,40대,734000,10,73400,2017-02-16
2014-09,내국인 관광객,서귀포시,대륜동,농축수산품,여,30대,4324500,59,73297,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,정장(여성),남,20대,1366000,19,71895,2017-02-16
2014-09,내국인 관광객,제주시,삼도2동,정장(여성),남,50대,917600,13,70585,2017-02-16
2014-09,내국인 관광객,서귀포시,성산읍,농축수산품,남,40대,9695200,138,70255,2017-02-16
2014-09,내국인 관광객,서귀포시,성산읍,농축수산품,남,50대,6585000,94,70053,2017-02-16
2014-09,내국인 관광객,서귀포시,남원읍,농축수산품,여,40대,5719200,82,69746,2017-02-16
2014-09,내국인 관광객,서귀포시,예래동,농축수산품,남,40대,4349450,63,69039,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,안경,여,30대,1235000,18,68611,2017-02-16
2014-09,내국인 관광객,제주시,연동,정장(여성),여,30대,6137500,90,68194,2017-02-16
2014-09,내국인 관광객,제주시,연동,악세 사리,여,20대,1224800,18,68044,2017-02-16
2014-09,내국인 관광객,제주시,용담2동,농축수산품,여,50대,28970620,428,67688,2017-02-16
2014-09,내국인 관광객,제주시,삼도2동,정장(여성),여,30대,3313800,49,67629,2017-02-16
2014-09,내국인 관광객,서귀포시,예래동,농축수산품,여,30대,5747300,87,66061,2017-02-16
2014-09,내국인 관광객,서귀포시,대륜동,농축수산품,남,20대,726500,11,66045,2017-02-16
2014-09,내국인 관광객,제주시,삼도2동,정장(여성),남,30대,2044100,31,65939,2017-02-16
